dates,pollster_client,sample_size,conservative,labour,liberal_democrat,united_kingdom_independence_party,green,others,lead,year
10–11 Apr,YouGov/The Sun,2649,36%,42%,10%,5%,2%,6%,6%,2011
8–11 Apr,Angus Reid Public Opinion,2023,31%,42%,11%,6%,3%,7%,11%,2011
8–10 Apr,Populus/The Times[3],1509,36%,40%,11%,4%,3%,8%,4%,2011
7–8 Apr,YouGov/Sunday Times,2206,36%,43%,9%,4%,2%,6%,7%,2011
6–7 Apr,YouGov/The Sun,2199,35%,44%,10%,4%,2%,5%,9%,2011
5–6 Apr,YouGov/The Sun,2034,36%,42%,10%,5%,2%,6%,6%,2011
4–5 Apr,YouGov/The Sun,2530,37%,42%,9%,5%,2%,5%,5%,2011
3–4 Apr,YouGov/The Sun,2484,37%,42%,9%,4%,3%,5%,5%,2011
31 Mar–1 Apr,YouGov/Sunday Times,2226,36%,42%,11%,5%,2%,5%,6%,2011
30–31 Mar,YouGov/The Sun,2175,35%,42%,10%,5%,2%,6%,7%,2011
29–30 Mar,YouGov/The Sun,2202,35%,45%,9%,5%,2%,5%,10%,2011
28–29 Mar,YouGov/The Sun,2198,36%,42%,10%,5%,2%,5%,6%,2011
27–28 Mar,YouGov/The Sun,2391,36%,44%,9%,4%,1%,6%,8%,2011
25–27 Mar,ComRes/The Independent[permanent dead link],1000,35%,41%,13%,4%,3%,4%,6%,2011
24–25 Mar,YouGov/Sunday Times,2214,38%,41%,11%,4%,2%,4%,3%,2011
23–24 Mar,YouGov/The Sun,2456,37%,41%,11%,4%,2%,5%,4%,2011
23–24 Mar,ICM/The Guardian[2],1014,37%,36%,16%,2%,2%,7%,1%,2011
22–23 Mar,YouGov/The Sun,2485,36%,42%,10%,5%,2%,4%,6%,2011
21–22 Mar,YouGov/The Sun,2026,35%,42%,9%,5%,2%,6%,7%,2011
18–21 Mar,Angus Reid Public Opinion,2023,32%,41%,10%,8%,,10%,9%,2011
17–18 Mar,YouGov/Sunday Times,2682,37%,43%,9%,5%,2%,5%,6%,2011
16–17 Mar,YouGov/The Sun,2295,35%,43%,10%,5%,2%,4%,8%,2011
15–16 Mar,YouGov/The Sun,2666,35%,43%,10%,5%,2%,5%,8%,2011
14–15 Mar,YouGov/The Sun,2595,35%,45%,9%,5%,1%,4%,10%,2011
13–14 Mar,YouGov/The Sun,2634,35%,44%,9%,5%,2%,4%,9%,2011
11–13 Mar,Ipsos MORI/Reuters,1000,37%,41%,10%,3%,3%,6%,4%,2011
10–11 Mar,YouGov/Sunday Times,2067,33%,44%,10%,7%,2%,5%,11%,2011
9–10 Mar,YouGov/The Sun,2195,34%,45%,9%,6%,2%,5%,11%,2011
8–9 Mar,YouGov/The Sun,2436,36%,42%,9%,6%,1%,5%,6%,2011
7–8 Mar,YouGov/The Sun,2346,36%,44%,10%,5%,2%,5%,8%,2011
6–7 Mar,YouGov/The Sun,1614,36%,42%,9%,6%,2%,5%,6%,2011
4–6 Mar,Populus/The Times[3],1511,35%,41%,11%,5%,4%,7%,6%,2011
3–4 Mar,YouGov/Sunday Times,2413,35%,43%,10%,4%,2%,5%,8%,2011
3–4 Mar,Angus Reid Public Opinion,2007,33%,41%,10%,6%,,10%,8%,2011
3 Mar,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011 Barnsley Central by-election.,2011
1–2 Mar,YouGov/The Sun,2458,36%,41%,11%,5%,2%,5%,5%,2011
28 Feb–1 Mar,YouGov/The Sun,2126,34%,43%,11%,5%,2%,5%,9%,2011
27–28 Feb,YouGov/The Sun,2549,36%,43%,10%,3%,2%,6%,7%,2011
25–27 Feb,ComRes/The Independent[permanent dead link],1007,35%,39%,12%,3%,5%,6%,4%,2011
24–25 Feb,YouGov/Sunday Times,2325,36%,44%,10%,3%,2%,5%,8%,2011
23–24 Feb,YouGov/The Sun,TBC,38%,42%,10%,10%,,10%,4%,2011
22–23 Feb,YouGov/The Sun,2487,36%,44%,11%,3%,2%,4%,8%,2011
21–22 Feb,YouGov/The Sun,2372,37%,43%,9%,4%,2%,5%,6%,2011
20–21 Feb,YouGov/The Sun[permanent dead link],2630,36%,42%,11%,11%,,11%,6%,2011
21–23 Feb,ICM/The Guardian[2],1000,35%,38%,18%,2%,1%,6%,3%,2011
18–20 Feb,Ipsos MORI/Reuters,1002,33%,43%,13%,3%,3%,5%,10%,2011
17–18 Feb,YouGov/Sunday Times,2464,37%,41%,10%,3%,2%,6%,4%,2011
16–17 Feb,YouGov/The Sun,2643,36%,42%,10%,4%,2%,5%,6%,2011
15–16 Feb,YouGov/The Sun,TBC,35%,45%,10%,10%,,10%,10%,2011
14–15 Feb,YouGov/The Sun,2502,37%,44%,10%,4%,2%,4%,7%,2011
13–14 Feb,YouGov/The Sun,2736,36%,44%,10%,4%,2%,4%,8%,2011
10–11 Feb,YouGov/Sunday Times,2419,35%,45%,9%,4%,2%,5%,10%,2011
9–10 Feb,YouGov/The Sun,2474,35%,44%,10%,4%,2%,6%,9%,2011
9–10 Feb,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2009,36%,42%,11%,5%,2%,4%,6%,2011
8–10 Feb,Angus Reid Public Opinion,2019,34%,40%,11%,6%,,9%,6%,2011
8–9 Feb,YouGov/The Sun,2339,36%,43%,10%,4%,1%,6%,7%,2011
7–8 Feb,YouGov/The Sun,2483,35%,43%,10%,5%,2%,4%,8%,2011
6–7 Feb,YouGov/The Sun,2278,37%,43%,9%,4%,3%,3%,6%,2011
4–6 Feb,Populus/The Times[3],1510,36%,39%,11%,3%,4%,7%,3%,2011
3–4 Feb,YouGov/Sunday Times,2283,36%,42%,10%,5%,3%,3%,6%,2011
2–3 Feb,YouGov/The Sunday Times,2051,37%,44%,9%,3%,2%,5%,7%,2011
1–2 Feb,YouGov/The Sun,2409,36%,44%,9%,4%,2%,4%,8%,2011
31 Jan–1 Feb,YouGov/The Sun,1922,39%,44%,8%,4%,1%,5%,5%,2011
30–31 Jan,YouGov/The Sun,2032,40%,42%,8%,4%,1%,6%,2%,2011
28–30 Jan,ComRes/The Independent[permanent dead link],1002,34%,43%,10%,2%,4%,7%,9%,2011
27–28 Jan,Angus Reid Public Opinion/Sunday Express,2323,32%,43%,11%,4%,,10%,11%,2011
27–28 Jan,YouGov/Sunday Times,2234,39%,43%,8%,4%,1%,5%,4%,2011
26–27 Jan,YouGov/The Sun,1835,38%,44%,8%,4%,2%,4%,6%,2011
25–26 Jan,YouGov/The Sun,2139,39%,41%,10%,5%,2%,4%,2%,2011
25–26 Jan,Angus Reid Public Opinion/PoliticalBetting.com,2010,33%,41%,12%,6%,,9%,8%,2011
24–25 Jan,YouGov/The Sun,1816,37%,43%,10%,4%,2%,4%,6%,2011
23–24 Jan,YouGov/The Sun,2003,37%,42%,11%,4%,2%,5%,5%,2011
21–24 Jan,Ipsos MORI/Reuters,1162,33%,43%,13%,4%,3%,4%,10%,2011
21–23 Jan,ICM/The Guardian[2],1000,35%,39%,15%,2%,3%,5%,4%,2011
20–21 Jan,YouGov/Sunday Times,1699,39%,43%,9%,5%,2%,3%,4%,2011
19–20 Jan,YouGov/The Sun,1860,36%,43%,10%,5%,2%,4%,7%,2011
18–19 Jan,YouGov/The Sun,1993,37%,42%,9%,5%,2%,8%,5%,2011
17–18 Jan,YouGov/The Sun,1884,39%,44%,8%,3%,2%,4%,5%,2011
16–17 Jan,YouGov/The Sun,1977,37%,42%,9%,5%,2%,4%,5%,2011
13–14 Jan,YouGov/The Sunday Times,1865,37%,43%,9%,4%,3%,4%,6%,2011
13 Jan,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011 Oldham East and Saddleworth by-election.,2011
12–13 Jan,ComRes/Sunday Mirror/Independent on Sunday[permanent dead link],2006,36%,40%,10%,5%,3%,6%,4%,2011
12–13 Jan,YouGov/The Sun,1884,41%,41%,8%,4%,2%,5%,Tie,2011
11–12 Jan,YouGov/The Sun,1812,36%,43%,9%,5%,2%,4%,7%,2011
10–11 Jan,YouGov/The Sun,1857,40%,41%,7%,5%,2%,5%,1%,2011
8–10 Jan,YouGov/Sunday Times,2283,40%,43%,8%,4%,2%,3%,3%,2011
7–9 Jan,ComRes/The Independent[permanent dead link],1000,34%,42%,12%,2%,5%,5%,8%,2011
6–7 Jan,Angus Reid Public Opinion,2010,35%,40%,12%,5%,2%,7%,5%,2011
6–7 Jan,YouGov/Sunday Times,1797,38%,41%,10%,4%,2%,4%,3%,2011
5–6 Jan,YouGov/The Sun,1862,39%,43%,7%,4%,2%,4%,4%,2011
4–5 Jan,YouGov/The Sun,TBC,40%,41%,10%,7%,7%,7%,1%,2011
3–4 Jan,YouGov/The Sun,1876,40%,42%,8%,4%,2%,4%,2%,2011
22–23 Dec,YouGov/The Sun,1635,39%,41%,9%,5%,2%,5%,2%,2010
21–22 Dec,YouGov/The Sun,1695,41%,42%,8%,3%,2%,5%,1%,2010
20–21 Dec,YouGov/The Sun,2032,40%,42%,9%,4%,2%,3%,2%,2010
19–20 Dec,YouGov/The Sun,2039,40%,43%,8%,3%,2%,4%,3%,2010
17–20 Dec,Angus Reid Public Opinion,2003,35%,41%,9%,5%,3%,7%,6%,2010
16–19 Dec,ICM/The Guardian[2],736,37%,39%,13%,2%,2%,7%,2%,2010
17 Dec,Opinium,-,37%,37%,12%,14%,,14%,Tie,2010
16–17 Dec,YouGov/Sunday Times,1966,39%,42%,9%,4%,2%,4%,3%,2010
15–16 Dec,ComRes/The Independent on Sunday/Sunday Mirror[permanent dead link],2017,37%,39%,11%,5%,2%,6%,2%,2010
15–16 Dec,YouGov/The Sun,1922,41%,41%,9%,5%,1%,4%,Tie,2010
14–15 Dec,YouGov/The Sun,2022,42%,40%,8%,3%,2%,4%,2%,2010
13–14 Dec,YouGov/The Sun,1810,39%,42%,9%,4%,1%,4%,3%,2010
12–13 Dec,YouGov/The Sun,2092,41%,42%,9%,4%,2%,2%,1%,2010
10–12 Dec,Ipsos MORI/Reuters,1004,38%,39%,11%,4%,4%,6%,1%,2010
10 Dec,Opinium,-,37%,36%,12%,15%,,15%,1%,2010
9–10 Dec,YouGov/Sunday Times,1937,40%,42%,9%,3%,1%,6%,2%,2010
8–9 Dec,YouGov/The Sun,1982,41%,39%,11%,3%,2%,4%,2%,2010
8 Dec,Opinium,-,38%,37%,11%,14%,,14%,1%,2010
7–8 Dec,YouGov/The Sun,1966,41%,41%,8%,3%,2%,4%,Tie,2010
6–7 Dec,YouGov/The Sun,2109,42%,39%,9%,4%,2%,4%,3%,2010
5–6 Dec,YouGov/The Sun,1991,42%,39%,10%,3%,1%,5%,3%,2010
2–3 Dec,YouGov/Sunday Times,1916,41%,39%,10%,5%,2%,3%,2%,2010
2 Dec,Opinium,-,38%,34%,13%,15%,,15%,4%,2010
1–2 Dec,YouGov/The Sun,1934,40%,40%,11%,3%,1%,5%,Tie,2010
30 Nov–1 Dec,YouGov/The Sun,2080,41%,38%,11%,3%,2%,5%,3%,2010
29–30 Nov,Angus Reid Public Opinion,2004,35%,40%,13%,4%,8%,8%,5%,2010
29–30 Nov,YouGov/The Sun,1975,40%,40%,10%,4%,2%,4%,Tie,2010
28–29 Nov,YouGov/The Sun,2114,40%,40%,10%,4%,2%,4%,Tie,2010
26–29 Nov,ComRes/The Independent[permanent dead link],1006,36%,40%,12%,2%,4%,6%,4%,2010
26 Nov,Opinium,-,37%,35%,14%,14%,,14%,2%,2010
25–26 Nov,YouGov/Sunday Times,1711,40%,40%,9%,4%,2%,5%,Tie,2010
24–25 Nov,YouGov/The Sun,2024,42%,39%,10%,3%,2%,4%,3%,2010
23–24 Nov,YouGov/The Sun,2053,40%,40%,9%,4%,2%,5%,Tie,2010
22–23 Nov,YouGov/The Sun,1968,42%,40%,10%,3%,2%,4%,2%,2010
21–22 Nov,YouGov/The Sun,2080,41%,38%,11%,4%,2%,4%,3%,2010
19–21 Nov,ICM/The Guardian[2],1000,36%,38%,14%,3%,2%,7%,2%,2010
18–19 Nov,YouGov/Sunday Times,1967,40%,38%,11%,4%,2%,5%,2%,2010
17–19 Nov,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link],2015,37%,38%,13%,4%,3%,5%,1%,2010
17–18 Nov,YouGov/The Sun,2007,40%,40%,11%,3%,1%,5%,Tie,2010
17 Nov,Opinium,-,38%,34%,13%,15%,,15%,4%,2010
16–17 Nov,YouGov/The Sun,2082,40%,40%,11%,3%,2%,5%,Tie,2010
15–16 Nov,YouGov/The Sun,2050,37%,42%,10%,5%,2%,3%,5%,2010
14–15 Nov,YouGov/The Sun,2050,40%,42%,10%,3%,1%,4%,2%,2010
12–14 Nov,Ipsos MORI/Reuters,1005,36%,39%,14%,2%,4%,5%,3%,2010
11–12 Nov,YouGov/Sunday Times,1930,39%,41%,10%,3%,1%,5%,2%,2010
10–11 Nov,YouGov/The Sun,2013,40%,40%,10%,4%,2%,4%,Tie,2010
9–10 Nov,YouGov/The Sun,1933,42%,37%,11%,4%,1%,5%,5%,2010
9 Nov,Opinium,-,39%,33%,14%,14%,,14%,6%,2010
8–9 Nov,YouGov/The Sun,1936,40%,39%,13%,3%,1%,4%,1%,2010
7–8 Nov,YouGov/The Sun,2109,42%,39%,11%,4%,2%,3%,3%,2010
5 Nov,"Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.","Nigel Farage is elected leader of the UK Independence Party, replacing interim leader Jeffrey Titford.",2010
4–5 Nov,YouGov/Sunday Times,1954,40%,39%,12%,3%,2%,5%,1%,2010
3–4 Nov,YouGov/The Sun,1980,40%,39%,11%,3%,2%,5%,1%,2010
2–3 Nov,YouGov/The Sun,2036,40%,40%,9%,3%,2%,5%,Tie,2010
1–2 Nov,YouGov/The Sun,2006,41%,40%,11%,3%,1%,4%,1%,2010
31 Oct–1 Nov,YouGov/The Sun,2132,41%,39%,11%,4%,1%,4%,2%,2010
29–30 Oct,ComRes/The Independent[permanent dead link],1000,35%,37%,16%,2%,4%,6%,2%,2010
29 Oct,Opinium,-,38%,35%,13%,14%,,14%,3%,2010
28–29 Oct,YouGov/Sunday Times,2058,42%,37%,13%,3%,1%,4%,5%,2010
27–28 Oct,Angus Reid Public Opinion,2015,35%,37%,15%,3%,2%,8%,2%,2010
27–28 Oct,YouGov/The Sun,1986,41%,39%,11%,3%,2%,4%,2%,2010
26–27 Oct,YouGov/The Sun,2108,41%,39%,12%,2%,2%,4%,2%,2010
25–26 Oct,YouGov/The Sun,2651,40%,38%,12%,2%,2%,5%,2%,2010
24–25 Oct,YouGov/The Sun,1967,40%,40%,11%,3%,1%,5%,Tie,2010
22–24 Oct,ICM/The Guardian[2],1002,39%,36%,16%,1%,1%,7%,3%,2010
22–24 Oct,Populus/The Times[3],1000,37%,38%,15%,3%,3%,5%,1%,2010
21–22 Oct,YouGov/Sunday Times,1845,41%,40%,10%,2%,2%,5%,1%,2010
21–22 Oct,ICM/News of the World[2],1025,40%,36%,16%,2%,1%,5%,4%,2010
20–21 Oct,YouGov/The Sun,1874,41%,40%,10%,3%,1%,5%,1%,2010
19–20 Oct,YouGov/The Sun,1936,41%,39%,11%,2%,2%,5%,2%,2010
18–19 Oct,YouGov/The Sun,2099,42%,39%,11%,2%,1%,5%,3%,2010
17–18 Oct,YouGov/The Sun,1991,41%,39%,12%,2%,1%,4%,2%,2010
17 Oct,YouGov/Sunday Times,-,41%,39%,11%,8%,8%,8%,2%,2010
15–17 Oct,Ipsos MORI/Reuters,1009,39%,36%,14%,3%,3%,5%,3%,2010
14–15 Oct,YouGov/Sunday Times,1898,41%,39%,11%,3%,1%,5%,2%,2010
13–15 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2009,40%,34%,14%,12%,,12%,6%,2010
13–14 Oct,YouGov/The Sun,1838,42%,38%,12%,3%,2%,3%,4%,2010
12–13 Oct,YouGov/The Sun,1959,41%,40%,11%,3%,1%,4%,1%,2010
11–12 Oct,YouGov/The Sun,2047,43%,36%,12%,3%,1%,4%,7%,2010
10–11 Oct,YouGov/The Sun,2090,42%,38%,12%,2%,1%,5%,4%,2010
7–8 Oct,YouGov/Sunday Times,1890,42%,38%,12%,3%,1%,4%,4%,2010
6–7 Oct,ICM/Sunday Telegraph,1002,38%,34%,18%,2%,2%,6%,4%,2010
6–7 Oct,YouGov/The Sun,1903,42%,38%,12%,3%,1%,4%,4%,2010
5–6 Oct,YouGov/The Sun,1955,42%,40%,11%,3%,1%,3%,2%,2010
4–5 Oct,YouGov/The Sun,2057,43%,39%,11%,2%,1%,4%,4%,2010
3–4 Oct,YouGov/The Sun,2108,41%,39%,12%,3%,1%,4%,2%,2010
30 Sep–1 Oct,YouGov/Sunday Times,1796,39%,41%,11%,2%,2%,4%,2%,2010
30 Sep–1 Oct,Angus Reid Public Opinion[permanent dead link],2004,35%,38%,16%,4%,7%,7%,3%,2010
29 Sep–1 Oct,ComRes/The Independent[permanent dead link],2035,39%,36%,15%,4%,3%,10%,3%,2010
29–30 Sep,YouGov/The Sun,3127,41%,39%,12%,3%,1%,4%,2%,2010
28–29 Sep,YouGov/The Sun,1916,41%,39%,12%,3%,2%,4%,2%,2010
28–29 Sep,ICM/The Guardian[2],1005,35%,37%,18%,3%,1%,6%,3%,2010
27–28 Sep,YouGov/The Sun,1896,41%,40%,12%,2%,1%,5%,1%,2010
26–27 Sep,YouGov/The Sun,1948,39%,40%,12%,3%,1%,5%,1%,2010
25 Sep,"Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.","Ed Miliband is elected leader of the Labour Party, replacing interim leader Harriet Harman.",2010
23–24 Sep,YouGov/Sunday Times,1905,39%,38%,15%,3%,2%,4%,1%,2010
22–23 Sep,YouGov/The Sun,2013,41%,37%,13%,2%,2%,4%,4%,2010
21–22 Sep,YouGov/The Sun,1649,43%,36%,14%,2%,1%,4%,7%,2010
20–21 Sep,YouGov/The Sun,1963,39%,39%,13%,3%,1%,4%,Tie,2010
19–20 Sep,YouGov/The Sun,2156,42%,38%,11%,3%,2%,3%,4%,2010
17 Sep,Opinium,-,37%,35%,13%,15%,,15%,2%,2010
16–17 Sep,YouGov/Sunday Times,1984,41%,39%,13%,3%,1%,3%,3%,2010
14–16 Sep,ComRes/Sunday Mirror/The Independent on Sunday[permanent dead link],2028,37%,35%,15%,13%,,13%,2%,2010
15–16 Sep,YouGov/The Sun,1996,41%,38%,12%,3%,2%,4%,3%,2010
14–15 Sep,YouGov/The Sun,1971,42%,39%,12%,2%,2%,3%,3%,2010
13–14 Sep,YouGov/The Sun,1913,40%,39%,12%,2%,1%,6%,2%,2010
12–13 Sep,YouGov/The Sun,2108,41%,38%,12%,2%,2%,5%,3%,2010
10–12 Sep,Populus/The Times[3],1508,39%,37%,14%,2%,2%,5%,2%,2010
10–12 Sep,Ipsos MORI/Reuters,1004,37%,37%,15%,2%,3%,6%,Tie,2010
9–10 Sep,YouGov/Sunday Times,1858,42%,38%,14%,2%,1%,3%,4%,2010
8–9 Sep,YouGov/The Sun,1948,42%,37%,14%,2%,1%,5%,5%,2010
7–8 Sep,YouGov/The Sun,1967,43%,38%,12%,2%,2%,3%,5%,2010
6–7 Sep,YouGov/The Sun,2089,42%,38%,13%,2%,1%,5%,4%,2010
5–6 Sep,YouGov/The Sun,2089,42%,37%,13%,3%,1%,4%,5%,2010
3–5 Sep,ComRes/The Independent,1000,38%,34%,18%,10%,,10%,4%,2010
2–3 Sep,YouGov/Sunday Times,1849,42%,37%,12%,3%,2%,4%,5%,2010
1–2 Sep,YouGov/The Sun[permanent dead link],-,42%,37%,12%,9%,,9%,5%,2010
31 Aug–1 Sep,YouGov/The Sun,1923,43%,37%,12%,3%,2%,3%,6%,2010
30–31 Aug,YouGov/The Sun,1548,43%,38%,11%,2%,1%,5%,5%,2010
26–27 Aug,YouGov/Sunday Times,1872,41%,37%,13%,3%,1%,4%,4%,2010
25–26 Aug,YouGov/The Sun,2046,42%,37%,12%,3%,1%,5%,5%,2010
24–25 Aug,YouGov/The Sun,2030,42%,37%,12%,2%,2%,4%,5%,2010
23–24 Aug,YouGov/The Sun,2011,41%,38%,13%,3%,1%,4%,3%,2010
22–23 Aug,YouGov/The Sun,2088,41%,39%,12%,4%,2%,3%,2%,2010
19–20 Aug,YouGov/Sunday Times,1953,41%,38%,12%,3%,1%,4%,3%,2010
18–19 Aug,YouGov/The Sun,1970,41%,37%,14%,3%,1%,4%,4%,2010
17–18 Aug,YouGov/The Sun,2095,44%,36%,12%,2%,1%,4%,8%,2010
16–17 Aug,YouGov/The Sun,2059,42%,37%,14%,2%,1%,5%,5%,2010
15–16 Aug,YouGov/The Sun,2125,41%,37%,15%,2%,1%,5%,4%,2010
13–15 Aug,ICM/The Guardian[2],1001,37%,37%,18%,2%,2%,4%,Tie,2010
13–15 Aug,ComRes/Daily Mirror/GMTV[permanent dead link],939,39%,33%,15%,2%,3%,8%,6%,2010
13 Aug,Opinium,-,39%,30%,16%,15%,,15%,9%,2010
12–13 Aug,YouGov/Sunday Times,1865,42%,37%,13%,2%,1%,4%,5%,2010
11–12 Aug,YouGov/The Sun,2000,42%,37%,14%,3%,1%,4%,5%,2010
10–11 Aug,YouGov/The Sun,1940,41%,37%,15%,2%,2%,4%,4%,2010
9–10 Aug,YouGov/The Sun,2008,42%,38%,14%,2%,1%,5%,4%,2010
8–9 Aug,YouGov/The Sun,2241,40%,36%,15%,3%,1%,5%,4%,2010
6–8 Aug,ComRes/The Independent[permanent dead link],1004,39%,33%,16%,2%,4%,7%,6%,2010
5–6 Aug,YouGov/Sunday Times,1906,42%,36%,13%,3%,1%,4%,6%,2010
4–5 Aug,YouGov/The Sun[permanent dead link],-,44%,36%,13%,7%,7%,7%,8%,2010
3–4 Aug,YouGov/The Sun,2137,42%,36%,13%,3%,2%,4%,6%,2010
2–3 Aug,YouGov/The Sun,2101,41%,36%,13%,3%,2%,4%,5%,2010
1–2 Aug,YouGov/The Sun,2216,42%,38%,12%,2%,1%,5%,4%,2010
29–30 Jul,YouGov/Sunday Times,1885,42%,38%,12%,2%,1%,4%,4%,2010
27–28 Jul,YouGov/The Sun,1900,42%,36%,14%,3%,2%,3%,6%,2010
26–27 Jul,YouGov/The Sun,2028,42%,37%,14%,2%,1%,4%,5%,2010
25–26 Jul,YouGov/The Sun,2143,42%,35%,15%,3%,2%,3%,7%,2010
23–25 Jul,ICM/The Guardian[2],1009,38%,34%,19%,1%,2%,5%,4%,2010
23–25 Jul,Ipsos MORI/Reuters,1009,40%,38%,14%,8%,8%,8%,2%,2010
22–23 Jul,YouGov/Sunday Times,1891,41%,36%,14%,3%,2%,4%,5%,2010
21–22 Jul,YouGov/The Sun,2104,43%,35%,15%,2%,1%,4%,8%,2010
20–21 Jul,YouGov/The Sun,2101,44%,35%,13%,2%,2%,3%,9%,2010
19–20 Jul,YouGov/The Sun,2143,43%,35%,14%,2%,1%,4%,8%,2010
18–19 Jul,YouGov/The Sun,2007,42%,35%,15%,2%,2%,4%,7%,2010
15–16 Jul,YouGov/Sunday Times,2023,40%,37%,15%,2%,1%,4%,3%,2010
14–15 Jul,YouGov/The Sun,1620,43%,34%,15%,2%,2%,6%,9%,2010
13–14 Jul,YouGov/The Sun,2185,43%,34%,15%,3%,1%,5%,9%,2010
12–13 Jul,YouGov/The Sun,2173,42%,35%,15%,3%,2%,5%,7%,2010
11–12 Jul,YouGov/The Sun,2227,42%,35%,15%,2%,2%,6%,7%,2010
9 Jul,Opinium,-,38%,34%,16%,12%,,12%,4%,2010
8–9 Jul,YouGov/Sunday Times,2019,42%,34%,17%,2%,1%,5%,8%,2010
7–8 Jul,YouGov/The Sun,2165,42%,35%,16%,3%,1%,4%,7%,2010
6–7 Jul,YouGov/The Sun,2731,40%,36%,17%,2%,1%,5%,4%,2010
5–6 Jul,YouGov/The Spectator,2214,41%,35%,16%,2%,2%,5%,6%,2010
5–6 Jul,YouGov/The Sun,1972,41%,36%,15%,2%,2%,5%,5%,2010
4–5 Jul,YouGov/The Sun,1424,40%,36%,16%,2%,1%,5%,4%,2010
2 Jul,Opinium,-,37%,33%,18%,12%,,12%,4%,2010
1–2 Jul,YouGov/Sunday Times,2233,41%,36%,16%,2%,1%,4%,5%,2010
30 Jun–1 Jul,YouGov/The Sun[permanent dead link],-,42%,35%,16%,7%,7%,7%,7%,2010
29–30 Jun,YouGov/The Sun,2138,42%,36%,15%,2%,2%,2%,6%,2010
28–29 Jun,YouGov/The Sun,1881,42%,36%,15%,2%,1%,4%,6%,2010
27–28 Jun,YouGov/The Sun,1503,42%,35%,16%,1%,2%,4%,7%,2010
25–27 Jun,ComRes/The Independent[permanent dead link],1003,40%,31%,18%,3%,2%,6%,8%,2010
24–25 Jun,YouGov/Sunday Times,2038,43%,36%,16%,2%,1%,3%,7%,2010
23–24 Jun,YouGov/The Sun[permanent dead link],-,43%,34%,17%,5%,5%,5%,9%,2010
23–24 Jun,ICM/Sunday Telegraph,1006,41%,35%,16%,2%,1%,4%,6%,2010
22–23 Jun,YouGov/The Sun,1641,42%,34%,17%,3%,2%,2%,8%,2010
22–23 Jun,Populus/The Times,1003,39%,33%,18%,3%,2%,4%,6%,2010
21–22 Jun,YouGov/The Sun[permanent dead link],2295,41%,37%,15%,2%,1%,4%,4%,2010
20–21 Jun,YouGov/The Sun[permanent dead link],2042,41%,33%,18%,3%,1%,3%,8%,2010
18 Jun,Opinium,-,40%,31%,19%,10%,,10%,9%,2010
18–20 Jun,Ipsos MORI/Reuters,1002,39%,31%,19%,2%,4%,6%,8%,2010
18–20 Jun,ICM/The Guardian[permanent dead link],1000,39%,31%,21%,1%,2%,5%,8%,2010
17–18 Jun,YouGov/Sunday Times[permanent dead link],1491,39%,34%,19%,3%,1%,4%,5%,2010
16–17 Jun,ComRes/The Independent on Sunday[permanent dead link],1004,36%,30%,23%,3%,2%,5%,6%,2010
10–11 Jun,YouGov/Sunday Times[permanent dead link],1482,40%,32%,18%,3%,1%,5%,8%,2010
1–9 Jun,Harris Interactive/Metro,1906,36%,30%,25%,9%,,9%,6%,2010
4 Jun,Opinium,-,42%,28%,19%,11%,,11%,14%,2010
28–31 May,ComRes/The Independent[permanent dead link],1000,37%,33%,21%,4%,3%,2%,4%,2010
21–23 May,ICM/The Guardian[permanent dead link],1001,39%,32%,21%,2%,1%,5%,7%,2010
