pollster_client,dates,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,plaid_cymru,green,brexit_party,united_kingdom_independence_party,change_uk,others,lead,year
Ipsos MORI,2–7 Mar,GB,1012,43%,42%,6%,4%,1%,2%,,2%,,0%,1%,2018
YouGov/The Times,5–6 Mar,GB,1641,41%,43%,7%,4%,4%,2%,,2%,,1%,2%,2018
ICM/The Guardian,2–4 Mar,GB,2030,43%,42%,7%,3%,0%,3%,,2%,,0%,1%,2018
YouGov/The Times,26–27 Feb,GB,1622,41%,42%,7%,4%,4%,2%,,3%,,1%,1%,2018
YouGov/The Times,19–20 Feb,GB,1650,40%,42%,8%,4%,4%,2%,,4%,,0%,2%,2018
ICM/The Guardian,16–19 Feb,GB,2027,42%,43%,7%,3%,0%,2%,,3%,,0%,1%,2018
YouGov/The Times,12–13 Feb,GB,1639,40%,41%,8%,3%,3%,2%,,4%,,1%,1%,2018
Kantar,6–12 Feb,GB,2448,39%,39%,8%,4%,1%,2%,,4%,,2%,Tie,2018
BMG,6–9 Feb,GB,1507,40%,40%,8%,2%,0%,4%,,5%,,1%,Tie,2018
Opinium/The Observer Archived 26 June 2019 at the Wayback Machine,6–8 Feb,GB,2002,42%,39%,7%,4%,1%,2%,,5%,,1%,3%,2018
YouGov/The Times,5–6 Feb,GB,2000,43%,39%,8%,3%,3%,3%,,3%,,1%,4%,2018
ICM/The Guardian,2–4 Feb,GB,2021,41%,40%,8%,3%,0%,3%,,4%,,1%,1%,2018
YouGov/The Times,28–29 Jan,GB,1669,42%,42%,6%,4%,4%,3%,,2%,,1%,Tie,2018
Survation,26–29 Jan,UK,1059,40%,43%,8%,2%,0%,1%,,3%,,3%,3%,2018
Ipsos MORI,19–23 Jan,GB,1031,39%,42%,9%,4%,0%,2%,,3%,,1%,3%,2018
ICM/The Guardian,10–19 Jan,GB,5075,41%,41%,7%,3%,0%,3%,,4%,,0%,Tie,2018
YouGov/The Times,16–17 Jan,GB,1672,41%,42%,7%,4%,4%,2%,,3%,,0%,1%,2018
ICM/The Guardian,12–14 Jan,GB,2027,40%,41%,7%,3%,1%,3%,,4%,,0%,1%,2018
Opinium/The Observer Archived 26 June 2019 at the Wayback Machine,11–12 Jan,GB,2008,40%,40%,6%,4%,0%,3%,,5%,,1%,Tie,2018
BMG,9–12 Jan,GB,1513,40%,41%,8%,3%,1%,2%,,4%,,1%,1%,2018
YouGov/The Times,7–8 Jan,GB,1663,40%,41%,9%,4%,4%,2%,,3%,,0%,1%,2018
YouGov/The Times,19–20 Dec,GB,1610,40%,42%,7%,5%,5%,1%,,4%,,0%,2%,2017
ICM/The Sun on Sunday,12–14 Dec,GB,2004,41%,42%,7%,3%,0%,3%,,4%,,0%,1%,2017
Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,12–14 Dec,GB,2005,39%,41%,7%,4%,1%,2%,,6%,,1%,2%,2017
YouGov/The Times,10–11 Dec,GB,1680,42%,41%,7%,4%,4%,2%,,4%,,2%[d],1%,2017
ICM/The Guardian,8–10 Dec,GB,2006,42%,40%,8%,3%,1%,2%,,5%,,0%,2%,2017
BMG/The Independent,5–8 Dec,GB,1509,37%,40%,9%,3%,1%,3%,,5%,,1%,3%,2017
YouGov/The Times,4–5 Dec,GB,1638,40%,41%,7%,4%,4%,2%,,3%,,2%[d],1%,2017
Survation/The Mail on Sunday,30 Nov–1 Dec,UK,1003,37%,45%,6%,3%,0%,1%,,4%,,3%,8%,2017
ICM/The Sun on Sunday,29 Nov–1 Dec,GB,2050,40%,41%,8%,3%,0%,3%,,4%,,0%,1%,2017
Ipsos MORI,24–28 Nov,GB,1003,37%,39%,9%,4%,1%,4%,,4%,,1%,2%,2017
ICM/The Guardian,24–26 Nov,GB,2029,41%,41%,7%,3%,0%,3%,,5%,,0%,Tie,2017
YouGov/The Times,22–23 Nov,GB,1644,39%,41%,7%,4%,4%,3%,,4%,,1%,2%,2017
YouGov/The Times,19–20 Nov,GB,1677,40%,43%,7%,4%,4%,2%,,3%,,0%,3%,2017
Kantar,14–20 Nov,GB,2437,42%,38%,9%,2%,0%,3%,,5%,,1%,4%,2017
BMG,14–17 Nov,GB,1507,40%,41%,8%,–,–,–,,4%,,7%,1%,2017
Opinium/The Observer,14–16 Nov,GB,2032,40%,42%,6%,4%,1%,2%,,5%,,0%,2%,2017
ICM/The Guardian,10–12 Nov,GB,2010,41%,41%,7%,4%,0%,2%,,4%,,0%,Tie,2017
YouGov/The Times,7–8 Nov,GB,2012,40%,43%,6%,4%,4%,2%,,4%,,1%,3%,2017
Ipsos MORI,27 Oct–1 Nov,GB,1052,38%,40%,9%,4%,1%,3%,,4%,,1%,2%,2017
YouGov/The Times,23–24 Oct,GB,1637,41%,43%,7%,4%,4%,2%,,3%,,0%,2%,2017
ICM/The Guardian,20–23 Oct,GB,2022,42%,42%,7%,3%,0%,2%,,3%,,0%,Tie,2017
BMG,17–20 Oct,GB,1506,37%,42%,10%,–,–,–,,4%,,7%,5%,2017
YouGov/The Times,18–19 Oct,GB,1648,40%,42%,8%,4%,4%,2%,,4%,,1%,2%,2017
YouGov/The Times,10–11 Oct,GB,1680,39%,42%,8%,4%,4%,2%,,4%,,0%,3%,2017
ICM/The Guardian,6–8 Oct,GB,2052,41%,41%,7%,4%,1%,2%,,4%,,0%,Tie,2017
Opinium/The Observer,4–6 Oct,GB,2009,40%,42%,5%,4%,0%,2%,,5%,,1%,2%,2017
Survation,4–5 Oct,UK,2047,38%,44%,7%,3%,1%,1%,,4%,,2%,6%,2017
YouGov/The Times,4–5 Oct,GB,1615,40%,42%,7%,4%,4%,2%,,4%,,1%,2%,2017
,29 Sep,Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],,Henry Bolton officially becomes leader of the UK Independence Party[22],,Henry Bolton officially becomes leader of the UK Independence Party[22],Henry Bolton officially becomes leader of the UK Independence Party[22],2017
BMG/The Independent,26–29 Sep,GB,1910,37%,42%,10%,3%,0%,3%,,4%,,1%,5%,2017
ICM/The Guardian,22–24 Sep,GB,1968,40%,42%,8%,3%,1%,2%,,4%,,1%,2%,2017
YouGov/The Times,22–24 Sep,GB,1716,39%,43%,7%,4%,4%,2%,,4%,,0%,4%,2017
Survation/The Mail on Sunday,22 Sep,UK,1174,38%,42%,8%,4%,1%,2%,,4%,,2%,4%,2017
Opinium/The Observer,19–22 Sep,GB,2004,42%,40%,6%,4%,1%,2%,,4%,,1%,2%,2017
Survation/LabourList,15–20 Sep,UK,1614,40%,41%,7%,3%,1%,2%,,5%,,1%,1%,2017
Ipsos MORI,15–18 Sep,GB,1023,40%,44%,9%,4%,0%,1%,,2%,,0%,4%,2017
BMG/The Independent,12–15 Sep,GB,1447,39%,38%,8%,3%,0%,4%,,6%,,1%,1%,2017
Opinium/The Observer,12–15 Sep,GB,2009,41%,41%,5%,4%,1%,3%,,5%,,0%,Tie,2017
YouGov/The Times,12–13 Sep,GB,1660,41%,42%,7%,4%,4%,2%,,3%,,1%,1%,2017
ICM/The Guardian,8–10 Sep,GB,2052,42%,42%,7%,3%,0%,3%,,4%,,0%,Tie,2017
Survation/The Mail on Sunday,31 Aug–1 Sep,UK,1046,38%,43%,7%,3%,1%,–,,4%,,3%,5%,2017
YouGov/The Times,30–31 Aug,GB,1658,41%,42%,6%,4%,4%,2%,,4%,,0%,1%,2017
ICM/The Guardian,25–28 Aug,GB,1972,42%,42%,7%,2%,0%,3%,,3%,,0%,Tie,2017
YouGov/The Times,21–22 Aug,GB,1664,41%,42%,8%,4%,4%,1%,,4%,,0%,1%,2017
Opinium/The Observer,15–18 Aug,GB,2006,40%,43%,6%,4%,1%,2%,,4%,,1%,3%,2017
BMG/The Independent,7–11 Aug,GB,1512,42%,39%,7%,2%,0%,3%,,6%,,0%,3%,2017
YouGov/The Times,31 Jul–1 Aug,GB,1665,41%,44%,7%,3%,3%,2%,,3%,,0%,3%,2017
,20 Jul,Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],,Vince Cable officially becomes leader of the Liberal Democrats[23],,Vince Cable officially becomes leader of the Liberal Democrats[23],Vince Cable officially becomes leader of the Liberal Democrats[23],2017
YouGov/The Times,18–19 Jul,GB,1593,41%,43%,6%,4%,4%,2%,,3%,,0%,2%,2017
Ipsos MORI,14–18 Jul,GB,1071,41%,42%,9%,3%,0%,2%,,3%,,1%,1%,2017
ICM/The Guardian,14–16 Jul,GB,2046,42%,43%,7%,3%,1%,2%,,3%,,0%,1%,2017
Survation/The Mail on Sunday,14–15 Jul,UK,1024,39%,41%,8%,3%,1%,1%,,6%,,1%,2%,2017
BMG,11–14 Jul,GB,1518,37%,42%,10%,–,–,–,,4%,,7%,5%,2017
Opinium/The Observer,11–14 Jul,GB,2013,41%,43%,5%,3%,0%,2%,,5%,,0%,2%,2017
YouGov/The Times,10–11 Jul,GB,1700,40%,45%,7%,4%,4%,1%,,2%,,0%,5%,2017
YouGov/The Times,5–6 Jul,GB,1648,38%,46%,6%,4%,4%,1%,,4%,,1%,8%,2017
ICM/The Guardian,30 Jun–3 Jul,GB,2044,41%,43%,7%,3%,0%,3%,,3%,,0%,2%,2017
Survation,28–30 Jun,UK,1017,41%,40%,7%,2%,0%,2%,,2%,,6%[f],1%,2017
Opinium/The Observer,27–29 Jun,GB,2010,39%,45%,5%,3%,1%,2%,,5%,,0%,6%,2017
Panelbase/The Sunday Times,16–21 Jun,GB,5481,41%,46%,6%,3%,<1%,1%,,2%,,<1%,5%,2017
Survation/Good Morning Britain,16–17 Jun,UK,1005,41%,44%,6%,3%,1%,1%,,2%,,3%[g],3%,2017
Survation/The Mail on Sunday,10 Jun,UK,1036,39%,45%,7%,3%,1%,–,,3%,,2%,6%,2017
2017 general election,8 Jun,GB,–,43.4%,41.0%,7.6%,3.1%,0.5%,1.7%,,1.9%,,0.8%,2.4%,2017
2017 general election,8 Jun,UK,–,42.3%,40.0%,7.4%,3.0%,0.5%,1.6%,,1.8%,,3.3%,2.3%,2017
